State,County,Area Symbol,Download_Link
Virginia,Accomack County,VA001,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA001_soildb_US_2003_[2020-06-03].zip
Virginia,Albemarle County,VA003,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA003_soildb_US_2003_[2020-06-03].zip
Virginia,Alleghany County,VA005,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA005_soildb_US_2003_[2020-06-03].zip
Virginia,Amelia County,VA007,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA007_soildb_US_2003_[2020-06-03].zip
Virginia,Amherst County,VA009,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA009_soildb_US_2003_[2020-06-03].zip
Virginia,Appomattox County,VA011,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA011_soildb_US_2003_[2020-06-03].zip
Virginia,Arlington County,VA013,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA013_soildb_US_2003_[2020-06-03].zip
Virginia,Augusta County,VA015,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA015_soildb_US_2003_[2020-06-03].zip
Virginia,Bath County,VA017,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA017_soildb_US_2003_[2020-06-03].zip
Virginia,Bedford County,VA019,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA019_soildb_US_2003_[2020-06-03].zip
Virginia,Bland County,VA021,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA021_soildb_US_2003_[2020-06-03].zip
Virginia,Botetourt County,VA023,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA023_soildb_US_2003_[2020-06-03].zip
Virginia,Brunswick County,VA025,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA025_soildb_US_2003_[2020-06-03].zip
Virginia,Buchanan County,VA027,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA027_soildb_US_2003_[2020-06-03].zip
Virginia,Buckingham County,VA029,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA029_soildb_US_2003_[2020-06-03].zip
Virginia,Caroline County,VA033,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA033_soildb_US_2003_[2020-06-03].zip
Virginia,Carroll County,VA035,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA035_soildb_US_2003_[2020-06-03].zip
Virginia,Charles City County,VA036,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA036_soildb_US_2003_[2020-06-03].zip
Virginia,Charlotte County,VA037,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA037_soildb_US_2003_[2020-06-03].zip
Virginia,Chesterfield County,VA041,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA041_soildb_US_2003_[2020-06-04].zip
Virginia,Clarke County,VA043,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA043_soildb_US_2003_[2020-06-04].zip
Virginia,Craig County,VA045,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA045_soildb_US_2003_[2020-06-04].zip
Virginia,Culpeper County,VA047,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA047_soildb_US_2003_[2020-06-04].zip
Virginia,Cumberland County,VA049,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA049_soildb_US_2003_[2020-06-04].zip
Virginia,Dickenson County,VA051,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA051_soildb_US_2003_[2020-06-04].zip
Virginia,Essex County,VA057,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA057_soildb_US_2003_[2020-06-04].zip
Virginia,Fairfax County,VA059,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA059_soildb_US_2003_[2020-06-04].zip
